CODE;NAME;CODECITY;LONGITUDE;LATITTUDE;CATEGORY
FAY;MUNICIPAL;1047;35.0;-78.88333;AIRPORT
FYV;MUNICIPAL;1047;36.0;-94.166664;AIRPORT
WFI;FIANARANTSOA;1056;-21.45;47.1;AIRPORT
FOG;GINO LISA;1065;41.416668;15.533333;AIRPORT
FRL;LUIGI RIDOLFI;1067;44.2;12.066667;AIRPORT
FMA;EL PUCU;1068;-26.212778;-58.228058;AIRPORT
FTW;MEACHAM FIELD;1073;32.855556;-96.85;AIRPORT
HGS;HASTINGS;1083;8.616111;-13.183056;AIRPORT
FNA;LUNGI INTERNATIONAL;1083;8.616667;-13.2;AIRPORT
JMY;MAMMY YOKO HELIPORT;1083;8.49;-13.234167;AIRPORT
FAT;FRESNO AIR TERMINAL AIRPORT;1087;36.766666;-119.71667;AIRPORT
FCH;FRESNO-CHANDLER;1087;19.29139;-99.425835;AIRPORT
FKJ;FUKUI;1098;36.083332;136.25;AIRPORT
FUL;MUNICIPAL;1103;33.86667;-117.96667;AIRPORT
FOC;FUZHOU;1112;26.1;119.28333;AIRPORT
GAE;GABES;1113;33.83611;10.0;AIRPORT
GBE;SIR SERETSE KHAMA INTERNATIONAL;1114;-24.555279;25.918333;AIRPORT
GNV;GAINESVILLE REGIONAL;1116;29.683332;-82.26667;AIRPORT
GOU;GAROUA;1126;9.333333;13.366667;AIRPORT
GVX;SANDVIKEN;1130;60.516666;17.016666;AIRPORT
GAY;GAYA;1131;24.75;84.95;AIRPORT
GZT;GAZIANTEP;1133;37.066666;37.333332;AIRPORT
GEX;GEELONG;1138;-38.13333;144.35;AIRPORT
AVV;AVALON;1138;-38.033333;144.46666;AIRPORT
GOA;CRISTOFORO COLOMBO;1147;44.43;8.8375;AIRPORT
GRJ;GEORGE;1149;-33.966667;22.416668;AIRPORT
GEE;GEORGE TOWN;1150;-41.079166;146.83888;AIRPORT
GTT;GEORGETOWN;1151;-18.416668;143.78334;AIRPORT
GCM;OWEN ROBERTS INTERNATIONAL;1151;19.292778;-81.35778;AIRPORT
GGE;GEORGETOWN;1151;33.316666;-79.316666;AIRPORT
GHA;NOUMERATE;1155;32.38333;3.816667;AIRPORT
GIB;NORTH FRONT;1158;36.15;-5.35;AIRPORT
GIR;GIRARDOT;1164;4.283333;-74.8;AIRPORT
GLA;GLASGOW INTERNATIONAL;1169;55.871944;-4.433056;AIRPORT
GGW;INTERNATIONAL;1169;48.216667;-106.61667;AIRPORT
GWV;GLENDALE;1171;-17.360556;31.059723;AIRPORT
GLO;GLOUCESTERSHIRE;1173;51.89417;-2.167222;AIRPORT
GYN;SANTA GENOVEVA;1177;-16.631945;-49.220554;AIRPORT
OOL;GOLD COAST;1179;-28.18111;153.5;AIRPORT
GOP;GORAKHPUR;1187;26.733334;83.45;AIRPORT
GBT;GORGAN;1188;36.909443;54.40139;AIRPORT
GVR;GOVERNADOR VALADARES;1194;-18.895279;-41.982224;AIRPORT
GCV;GRAVATAI;1197;-29.95;-50.983334;AIRPORT
GRZ;THALERHOF;1198;47.066666;15.45;AIRPORT
GRB;AUSTIN-STRAUBEL FIELD;1199;44.483334;-88.13333;AIRPORT
GSY;BINBROOK;1203;51.333332;0.033333;AIRPORT
GDL;DON MIGUEL HIDALGO Y COSTILLA INTERNATIONAL;1209;21.454721;-103.30111;AIRPORT
GDP;GUADALUPE;1210;-6.781944;-43.58167;AIRPORT
GUQ;GUANARE;1214;9.033333;-69.75;AIRPORT
NBW;GUANTANAMO NAS;1217;20.144444;-75.20917;AIRPORT
GAO;LOS CANOS;1217;20.084723;-75.15861;AIRPORT
GUJ;GUARATINGUETA;1219;-22.791668;-45.204723;AIRPORT
KWL;GUILIN;1232;25.218056;110.03917;AIRPORT
KWE;GUIYANG;1234;26.666668;107.01667;AIRPORT
GUX;GUNA;1238;24.483334;77.316666;AIRPORT
GWE;GWERU;1246;-19.45;29.816668;AIRPORT
HHE;HACHINOHE;1254;40.55;141.48334;AIRPORT
HPH;CATBI;1267;20.816668;106.566666;AIRPORT
HKD;HAKODATE;1268;41.766666;140.81667;AIRPORT
HDM;HAMADAN;1276;34.85;48.55;AIRPORT
XFW;FINKENWERDER;1278;53.516666;9.866667;AIRPORT
HAM;HAMBURG AIRPORT;1278;53.63333;9.983333;AIRPORT
YHM;HAMILTON;1281;43.166668;-79.933334;AIRPORT
HAB;MARION COUNTY;1281;34.11667;-88.0;AIRPORT
HPT;MUNICIPAL;1285;42.75;-93.2;AIRPORT
ZWW;NEWPORT NEWS RAIL;1285;52.166668;-2.016667;AIRPORT
HZG;HANZHONG;1293;32.983334;107.183334;AIRPORT
HRE;HARARE;1296;-17.931944;31.092777;AIRPORT
HRB;HARBIN;1297;46.016666;126.583336;AIRPORT
HFD;BRAINARD;1301;41.766666;-72.683334;AIRPORT
HDY;HAT YAI;1304;7.016667;100.45;AIRPORT
HWD;AIR TERMINAL;1307;37.666668;-122.083336;AIRPORT
HNY;HENGYANG;1320;26.905277;112.62778;AIRPORT
HEB;HENZADA;1321;17.6;95.45;AIRPORT
HEA;HERAT;1323;34.183334;62.233334;AIRPORT
HIJ;INTERNATIONAL;1348;34.43611;132.91945;AIRPORT
HBA;HOBART;1354;-42.83611;147.51028;AIRPORT
HWO;NORTH PERRY;1359;26.001389;-80.240555;AIRPORT
HIK;HICKAM AFB;1363;21.31611;-157.92667;AIRPORT
EFD;ELLINGTON FIELD;1367;29.602777;-95.15278;AIRPORT
IAH;GEORGE BUSH INTERCONTINENTAL;1367;29.984444;-95.34139;AIRPORT
HSZ;HSINCHU;1371;24.818056;120.94139;AIRPORT
NOV;HUAMBO;1381;-12.783333;15.766667;AIRPORT
HUU;HUANUCO;1386;-9.908333;-76.21389;AIRPORT
HEV;HUELVA;1392;37.25833;-6.950833;AIRPORT
HYD;CHENNAI AIRPORT;1402;17.453056;78.4675;AIRPORT
HDD;HYDERABAD;1402;25.3;68.38333;AIRPORT
IAS;IASI;1405;47.183334;27.6;AIRPORT
IGN;MARIA CRISTINA;1429;8.25;124.25;AIRPORT
ILO;ILOILO INTERNATIONAL;1430;10.713056;122.54528;AIRPORT
IMP;IMPERATRIZ;1432;-5.5;-47.416668;AIRPORT
IMF;MUNICIPAL;1433;24.866667;93.933334;AIRPORT
IDR;DEVI AHILYABAI HOLKAR;1441;22.716667;75.8;AIRPORT
IPH;SULTAN AZLAN SHAH AIRPORT;1447;4.568056;101.092224;AIRPORT
IPW;IPSWICH;1448;52.033333;1.2;AIRPORT
IQT;C.F. SECADA;1450;-3.75;-73.21667;AIRPORT
ISB;ISLAMABAD INTERNATIONAL;1465;33.61667;73.1;AIRPORT
SAW;SABIHA GOKCEN;1469;40.89861;29.309168;AIRPORT
ITB;ITAITUBA;1474;-4.266667;-55.983334;AIRPORT
ADB;ADNAN MENDERES;1493;38.2925;27.156944;AIRPORT
IGL;CIGLI MILITARY ARPT;1493;38.516666;27.016666;AIRPORT
MKL;MC KELLAR-SIPES REGIONAL;1501;35.6;-88.91556;AIRPORT
HKS;HAWKINS FIELD;1501;32.33361;-90.22222;AIRPORT
MJQ;JACKSON;1501;43.61667;-95.01667;AIRPORT
JXN;REYNOLDS MUNICIPAL;1501;42.266666;-84.46667;AIRPORT
OAJ;ALBERT J ELLIS;1502;34.716667;-77.416664;AIRPORT
CRG;CRAIG MUNICIPAL;1502;30.333889;-81.5025;AIRPORT
LRF;LITTLE ROCK AFB;1502;34.918056;-92.146385;AIRPORT
